Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
531,0,0,-2,0.00,0.00
4973,0,0,0,0.00,0.00
3642,-1,0,3,-0.00,0.00
4920,0,0,-3,0.00,0.00
3592,-3,0,1,-0.00,0.00
48,-1,0,0,-0.02,0.00
1997,0,0,1,0.00,0.00
4159,0,0,1,0.00,0.00
2192,-1,0,-3,-0.00,0.00
3313,0,0,0,0.00,0.00
4118,0,0,-2,0.00,0.00
4427,-1,0,-1,-0.00,0.00
2391,0,0,1,0.00,0.00
3463,-1,0,-2,-0.00,0.00
1007,-1,0,-2,-0.00,0.00
3190,0,0,0,0.00,0.00
2568,0,0,-1,0.00,0.00
993,-2,0,-1,-0.00,0.00
867,-1,0,-2,-0.00,0.00
2690,-1,0,0,-0.00,0.00
1287,0,0,-1,0.00,0.00
3041,-1,0,-9,-0.00,0.00
4077,-2,0,-4,-0.00,0.00
1409,-1,0,1,-0.00,0.00
2625,-1,0,0,-0.00,0.00
467,-1,0,-1,-0.00,0.00
4461,-1,0,-2,-0.00,0.00
112,0,0,0,0.00,0.00
1327,-1,0,0,-0.00,0.00
3392,0,0,5,0.00,0.00
2370,0,0,1,0.00,0.00
2558,0,0,2,0.00,0.00
2940,-1,0,-1,-0.00,0.00
280,-1,0,-1,-0.00,0.00
3462,0,0,1,0.00,0.00
794,-2,0,-2,-0.00,0.00
4729,-2,0,0,-0.00,0.00
4944,-1,0,0,-0.00,0.00
4289,0,0,1,0.00,0.00
1726,0,0,0,0.00,0.00
2869,-1,0,-2,-0.00,0.00
4654,-1,0,-1,-0.00,0.00
2795,0,0,-3,0.00,0.00
3799,0,0,-3,0.00,0.00
4499,0,0,-3,0.00,0.00
4368,-1,0,-1,-0.00,0.00
4963,-1,0,0,-0.00,0.00
4268,0,0,0,0.00,0.00
618,0,0,-1,0.00,0.00
1928,0,0,-1,0.00,0.00
1636,-1,0,0,-0.00,0.00
2302,-1,0,-2,-0.00,0.00
1828,-1,0,-32,-0.00,0.00
585,0,0,-4,0.00,0.00
572,0,0,1,0.00,0.00
2186,-1,0,0,-0.00,0.00
83,0,0,-2,0.00,0.00
3181,0,0,0,0.00,0.00
2074,0,0,2,0.00,0.00
1538,0,0,-1,0.00,0.00
112,-2,0,-1,-0.02,0.00
315,0,0,-1,0.00,0.00
4208,-1,0,-4,-0.00,0.00
4313,0,0,-1,0.00,0.00
3799,0,0,-1,0.00,0.00
2820,-1,0,-2,-0.00,0.00
4064,0,0,1,0.00,0.00
4231,0,0,-2,0.00,0.00
1435,0,0,-1,0.00,0.00
1502,-2,0,1,-0.00,0.00
2003,-1,0,0,-0.00,0.00
720,-1,0,0,-0.00,0.00
2026,-2,0,0,-0.00,0.00
606,-1,0,-1,-0.00,0.00
4566,0,0,1,0.00,0.00
2981,-2,0,1,-0.00,0.00
3043,-1,0,-2,-0.00,0.00
3192,0,0,-1,0.00,0.00
3061,-1,0,-5,-0.00,0.00
3558,-4,0,-2,-0.00,0.00
4040,-1,0,0,-0.00,0.00
3887,-2,0,2,-0.00,0.00
207,-2,0,0,-0.01,0.00
679,-1,0,1,-0.00,0.00
4124,-1,0,-2,-0.00,0.00
4338,0,0,-2,0.00,0.00
2770,0,0,0,0.00,0.00
4434,-3,0,0,-0.00,0.00
3503,0,0,-1,0.00,0.00
4648,0,0,0,0.00,0.00
2664,-2,0,-1,-0.00,0.00
3152,-2,0,1,-0.00,0.00
1319,0,0,4,0.00,0.00
560,0,0,2,0.00,0.00
3585,0,0,0,0.00,0.00
2051,0,0,-1,0.00,0.00
1716,-1,0,0,-0.00,0.00
2010,-1,0,1,-0.00,0.00
1715,-1,0,0,-0.00,0.00
659,-1,0,-3,-0.00,0.00
