Concurrent Users,Total Waiting Time,Total Service Time,Maximum Workload,Average Waiting Time,Average Service Time
4808,3203,13980,32,0.67,2.91
3730,515,11360,25,0.14,3.05
3801,1484,11340,36,0.39,2.98
4635,2458,14390,36,0.53,3.10
4713,4552,14700,37,0.97,3.12
3011,686,8800,51,0.23,2.92
4752,3108,14690,30,0.65,3.09
2871,1344,9000,39,0.47,3.13
2562,1139,7760,30,0.44,3.03
2601,2114,7510,32,0.81,2.89
3774,6915,11280,34,1.83,2.99
1316,722,3870,28,0.55,2.94
15,27,50,7,1.80,3.33
3742,1024,11150,27,0.27,2.98
183,126,720,20,0.69,3.93
812,336,2460,27,0.41,3.03
4661,1845,14630,29,0.40,3.14
2162,814,6170,26,0.38,2.85
2942,724,8470,30,0.25,2.88
420,362,1260,36,0.86,3.00
223,119,660,19,0.53,2.96
2967,1421,8940,33,0.48,3.01
4943,1307,14930,45,0.26,3.02
1391,493,4080,21,0.35,2.93
2637,875,8290,33,0.33,3.14
1298,1985,3790,35,1.53,2.92
4950,2585,15090,40,0.52,3.05
1151,393,3370,35,0.34,2.93
1826,2390,5340,27,1.31,2.92
3940,2480,11880,35,0.63,3.02
4355,2100,13130,28,0.48,3.01
1693,2313,5060,26,1.37,2.99
4710,2841,14090,25,0.60,2.99
2270,663,6760,22,0.29,2.98
709,698,2290,20,0.98,3.23
899,428,2650,19,0.48,2.95
4315,5344,12920,33,1.24,2.99
4553,1333,13140,36,0.29,2.89
4473,3168,14170,41,0.71,3.17
2044,547,6500,36,0.27,3.18
432,219,1410,13,0.51,3.26
3308,12541,10210,30,3.79,3.09
1847,502,5790,31,0.27,3.13
4566,1353,13790,35,0.30,3.02
608,326,1680,24,0.54,2.76
3593,1826,10650,51,0.51,2.96
735,278,2170,31,0.38,2.95
4742,1322,13720,36,0.28,2.89
250,125,650,19,0.50,2.60
2459,744,7160,34,0.30,2.91
4867,1221,14760,38,0.25,3.03
4120,923,12840,32,0.22,3.12
3156,2220,9650,34,0.70,3.06
2069,2376,6050,35,1.15,2.92
2312,783,6970,36,0.34,3.01
568,333,1620,26,0.59,2.85
1023,385,3020,41,0.38,2.95
2266,3703,6820,32,1.63,3.01
833,315,2590,22,0.38,3.11
1631,612,4640,39,0.38,2.84
294,212,850,18,0.72,2.89
1386,341,4280,28,0.25,3.09
956,213,2980,20,0.22,3.12
3634,3188,11060,32,0.88,3.04
4186,1091,12840,25,0.26,3.07
4049,1436,11710,33,0.35,2.89
1417,555,3890,32,0.39,2.75
2514,5583,7130,28,2.22,2.84
52,34,110,13,0.65,2.12
177,121,570,22,0.68,3.22
3703,3560,10720,30,0.96,2.89
2676,1802,7870,31,0.67,2.94
1860,2654,5370,44,1.43,2.89
3325,958,9860,37,0.29,2.97
4516,1832,13240,37,0.41,2.93
1808,2453,5340,26,1.36,2.95
2231,815,6670,27,0.37,2.99
3257,4231,9820,31,1.30,3.02
2715,916,7940,41,0.34,2.92
2084,3707,6240,36,1.78,2.99
3770,1179,11460,34,0.31,3.04
3363,857,10200,27,0.25,3.03
1057,314,3460,27,0.30,3.27
3928,985,11420,35,0.25,2.91
2136,644,6520,32,0.30,3.05
2140,1596,6560,25,0.75,3.07
784,215,2490,19,0.27,3.18
3924,1175,11780,46,0.30,3.00
1803,451,5520,29,0.25,3.06
2708,1497,7970,32,0.55,2.94
2261,662,6870,34,0.29,3.04
4206,4649,12580,32,1.11,2.99
2313,1081,6610,35,0.47,2.86
282,91,790,18,0.32,2.80
2360,813,6860,31,0.34,2.91
4154,1705,12810,31,0.41,3.08
4917,1709,14640,41,0.35,2.98
4769,7377,14210,37,1.55,2.98
4749,2722,14220,33,0.57,2.99
3917,1714,11650,35,0.44,2.97
1098,445,3290,24,0.41,3.00
2609,936,8380,35,0.36,3.21
1861,731,5250,25,0.39,2.82
3679,1904,11150,31,0.52,3.03
328,185,1080,20,0.56,3.29
3997,1109,11310,29,0.28,2.83
1476,515,4620,25,0.35,3.13
2143,1023,6390,27,0.48,2.98
3004,1035,9070,26,0.34,3.02
4628,1189,14420,29,0.26,3.12
